Epoch,Train Loss,Validation Loss;
1, 2.29440, 1.77153
2, 2.07873, 1.50492
3, 2.21431, 1.39413
4, 2.15283, 1.30074
5, 1.75681, 1.28346
6, 1.74012, 1.24304
7, 1.77271, 1.21998
8, 1.90952, 1.20493
9, 1.46147, 1.18120
10, 1.59054, 1.16517
11, 1.76271, 1.13218
12, 1.91285, 1.11729
13, 1.48753, 1.12860
14, 1.83218, 1.14122
15, 1.59821, 1.10178
16, 1.52490, 1.16364
17, 1.73816, 1.11847
18, 1.43885, 1.09949
19, 1.39743, 1.09000
20, 1.30788, 1.08573
21, 1.48177, 1.13507
22, 1.59082, 1.10396
23, 1.46657, 1.10594
24, 1.37626, 1.09404
25, 1.77402, 1.13080
